dateff,mktrf,smb,hml,rf,umd
31-03-09,0.0895,-0.0008,0.0352,0.0002,-0.1138
30-04-09,0.1019,0.0483,0.0546,0.0001,-0.3439
29-05-09,0.0521,-0.0233,-0.0021,0,-0.1244
30-06-09,0.0043,0.0261,-0.0271,0.0001,0.0529
31-07-09,0.0772,0.0207,0.0527,0.0001,-0.0536
31-08-09,0.0333,-0.009,0.0776,0.0001,-0.0884
30-09-09,0.0408,0.0245,0.0092,0.0001,-0.0493
30-10-09,-0.0259,-0.0423,-0.0418,0,0.0265
30-11-09,0.0556,-0.0249,-0.0017,0,0.0029
31-12-09,0.0275,0.0611,0.0001,0.0001,0.0291
29-01-10,-0.0336,0.0038,0.0031,0,-0.0538
26-02-10,0.034,0.0121,0.0317,0,0.036
31-03-10,0.0631,0.0143,0.021,0.0001,0.0366
30-04-10,0.02,0.0498,0.0281,0.0001,0.0322
28-05-10,-0.0789,0.0005,-0.0238,0.0001,-0.0013
30-06-10,-0.0556,-0.0198,-0.045,0.0001,-0.03
30-07-10,0.0693,0.0017,-0.0026,0.0001,0.0188
31-08-10,-0.0477,-0.03,-0.0196,0.0001,-0.0019
30-09-10,0.0954,0.0392,-0.0312,0.0001,0.0135
29-10-10,0.0388,0.0114,-0.0259,0.0001,0.0164
30-11-10,0.006,0.0371,-0.009,0.0001,0.0253
31-12-10,0.0682,0.0069,0.0382,0.0001,-0.0319
31-01-11,0.0199,-0.0246,0.0083,0.0001,-0.0032
28-02-11,0.0349,0.0152,0.0108,0.0001,0.0203
31-03-11,0.0045,0.026,-0.0157,0.0001,0.0351
29-04-11,0.029,-0.0035,-0.0253,0,0.0007
31-05-11,-0.0127,-0.0071,-0.0207,0,-0.0056
30-06-11,-0.0175,-0.0017,-0.0033,0,0.0178
29-07-11,-0.0236,-0.013,-0.0123,0,0.0008
31-08-11,-0.0599,-0.0306,-0.0244,0.0001,-0.0031
30-09-11,-0.0759,-0.0349,-0.0146,0,-0.0255
31-10-11,0.1135,0.0341,-0.0017,0,-0.0142
30-11-11,-0.0028,-0.0017,-0.0034,0,0.0399
30-12-11,0.0074,-0.0071,0.0175,0,0.0194
31-01-12,0.0505,0.0215,-0.0111,0,-0.0797
29-02-12,0.0442,-0.0175,0.0009,0,-0.003
30-03-12,0.0311,-0.006,0.0087,0,0.015
30-04-12,-0.0085,-0.0051,-0.0046,0,0.0383
31-05-12,-0.0619,0.0002,-0.0062,0.0001,0.066
29-06-12,0.0389,0.0077,0.0044,0,-0.0112
31-07-12,0.0079,-0.0259,-0.0026,0,0.0307
31-08-12,0.0255,0.0042,0.0132,0.0001,-0.0249
28-09-12,0.0273,0.0051,0.0154,0.0001,-0.0102
31-10-12,-0.0176,-0.0114,0.0379,0.0001,0.001
30-11-12,0.0078,0.0058,-0.0096,0.0001,0.0038
31-12-12,0.0118,0.0147,0.0356,0.0001,-0.0297
31-01-13,0.0557,0.0039,0.0095,0,-0.0188
28-02-13,0.0129,-0.0045,0.0003,0,0.0131
28-03-13,0.0403,0.0078,-0.0029,0,0.0194
30-04-13,0.0155,-0.0242,0.0063,0,0.0025
31-05-13,0.028,0.0167,0.026,0,-0.018
28-06-13,-0.012,0.0122,-0.0018,0,0.0059
31-07-13,0.0565,0.0186,0.0056,0,0.0174
30-08-13,-0.0271,0.003,-0.0278,0,0.0005
30-09-13,0.0377,0.0293,-0.0119,0,0.0297
31-10-13,0.0418,-0.0149,0.0114,0,0.0016
29-11-13,0.0312,0.0124,0.0024,0,0.004
31-12-13,0.0281,-0.005,-0.0031,0,0.0007
31-01-14,-0.0332,0.0086,-0.0209,0,0.0172
28-02-14,0.0465,0.0032,-0.004,0,0.0208
31-03-14,0.0043,-0.0189,0.0508,0,-0.033
30-04-14,-0.0019,-0.0425,0.0114,0,-0.0385
30-05-14,0.0206,-0.0185,-0.0027,0,0.0115
30-06-14,0.0261,0.0307,-0.0074,0,0.0068
31-07-14,-0.0204,-0.0424,0.0001,0,-0.0024
29-08-14,0.0424,0.0036,-0.0058,0,0.0082
30-09-14,-0.0197,-0.0383,-0.0123,0,0.0053
31-10-14,0.0252,0.0423,-0.0168,0,0
28-11-14,0.0255,-0.0209,-0.0299,0,0.0105
31-12-14,-0.0006,0.0254,0.0206,0,0.0106
30-01-15,-0.0311,-0.0056,-0.0347,0,0.0387
27-02-15,0.0613,0.0048,-0.0179,0,-0.0284
31-03-15,-0.0112,0.0302,-0.0046,0,0.0298
30-04-15,0.0059,-0.0297,0.0186,0,-0.0737
29-05-15,0.0136,0.0087,-0.0137,0,0.0601
30-06-15,-0.0153,0.0283,-0.0079,0,0.0304
31-07-15,0.0154,-0.0414,-0.0412,0,0.1028
31-08-15,-0.0604,0.0048,0.0268,0,-0.0207
30-09-15,-0.0308,-0.0264,0.0052,0,0.0532
30-10-15,0.0775,-0.0197,-0.0008,0,-0.0397
30-11-15,0.0056,0.0364,-0.0052,0,0.0228
31-12-15,-0.0217,-0.0282,-0.0258,0.0001,0.0344
29-01-16,-0.0577,-0.0336,0.021,0.0001,0.0137
29-02-16,-0.0007,0.0078,-0.0048,0.0002,-0.0409
31-03-16,0.0696,0.0087,0.0112,0.0002,-0.0514
29-04-16,0.0092,0.0068,0.0326,0.0001,-0.0623
31-05-16,0.0178,-0.0026,-0.0181,0.0001,0.0194
30-06-16,-0.0005,0.0065,-0.0149,0.0002,0.0421
29-07-16,0.0395,0.0265,-0.0113,0.0002,-0.0305
31-08-16,0.005,0.0115,0.0331,0.0002,-0.0309
30-09-16,0.0025,0.0202,-0.0148,0.0002,-0.0055
31-10-16,-0.0202,-0.0437,0.0418,0.0002,0.0065
30-11-16,0.0486,0.0549,0.0827,0.0001,-0.0422
30-12-16,0.0182,0.0007,0.036,0.0003,-0.0036
31-01-17,0.0194,-0.0102,-0.0278,0.0004,-0.0097
28-02-17,0.0357,-0.02,-0.018,0.0004,-0.0166
31-03-17,0.0017,0.0119,-0.0318,0.0003,-0.0092
28-04-17,0.0109,0.0073,-0.019,0.0005,0.0053
31-05-17,0.0106,-0.0255,-0.0378,0.0006,0.0147
30-06-17,0.0078,0.0216,0.0132,0.0006,-0.0025
31-07-17,0.0187,-0.014,-0.0028,0.0007,0.0163
31-08-17,0.0016,-0.0169,-0.0224,0.0009,0.0357
29-09-17,0.0251,0.0454,0.0303,0.0009,-0.012
31-10-17,0.0225,-0.0194,-0.0006,0.0009,0.043
30-11-17,0.0312,-0.0066,-0.0005,0.0008,-0.0075
29-12-17,0.0106,-0.0126,0.0014,0.0009,-0.016
31-01-18,0.0558,-0.0303,-0.0137,0.0011,0.0393
28-02-18,-0.0365,0.0028,-0.0119,0.0011,0.0398
