,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
199605,5.9654,4.4824,5.0203,3.6035,0.3777,1.8914
199606,-6.0054,-2.8834,-2.5663,-0.0914,-0.2247,-0.6865
199607,-13.7658,-6.337,-5.7038,-5.6457,-3.9772,-4.9654
199608,7.0905,4.5085,4.455,1.9396,3.3975,3.3274
199609,5.2427,2.3338,3.0273,6.5942,4.0338,2.3627
199610,-5.0953,-0.1717,0.7194,0.6381,3.1962,4.7779
199611,1.7026,4.4633,3.8431,7.0516,7.2208,6.9668
199612,0.541,2.593,1.7554,-1.9538,-1.4218,-1.5734
199701,3.9964,3.1224,2.8408,6.6109,4.4405,4.3023
199702,-6.3755,-0.5887,1.1209,-0.2417,0.3165,2.3758
199703,-8.5774,-3.7468,-1.7837,-5.6682,-2.6018,-4.8898
199704,-3.3008,0.791,-0.5252,6.4412,3.9215,3.3429
199705,15.5583,9.631,8.2532,6.8356,5.4326,6.1157
199706,3.6115,5.3858,6.7051,3.9819,4.3496,3.1926
199707,4.7491,5.3142,5.7587,7.3407,8.7325,7.8498
199708,3.9394,3.1578,3.1243,-5.654,-4.0655,-2.2972
199709,8.8339,7.6508,8.0401,5.0554,5.6522,5.6939
199710,-6.1603,-3.5624,-2.2635,-3.0375,-3.9575,-3.2006
199711,-3.4735,-0.7373,0.1922,5.0472,2.6659,2.7801
199712,-2.1847,0.8607,1.9682,1.2723,2.319,3.827
199801,-0.6116,-1.4304,-0.9038,2.845,-2.6162,0.1203
199802,8.3642,7.0044,7.2242,6.8095,7.96,7.4622
199803,4.4167,4.4465,4.7813,4.7879,5.0677,6.3712
199804,0.6466,1.3723,2.0988,0.864,1.708,0.7149
199805,-7.3166,-4.8027,-2.8772,-2.4605,-2.8282,1.2447
199806,0.5087,-0.581,-0.3001,5.7859,1.3481,1.7616
199807,-7.8559,-7.6442,-7.0728,-0.5563,-3.4788,-3.3773
199808,-24.4949,-18.4768,-18.2917,-13.9471,-18.142,-13.5403
199809,8.9105,5.0583,3.3368,7.6122,3.3901,6.3521
199810,4.7297,3.6704,2.9295,7.8368,8.1525,5.1102
199811,8.9455,5.7279,5.2009,7.0158,5.1063,4.2389
199812,6.611,3.3391,2.6196,8.4856,1.4936,3.3691
199901,4.1884,1.8796,0.6193,5.0572,-0.1298,0.4541
199902,-9.2224,-7.3536,-8.1765,-4.5213,-0.4834,-2.9793
199903,-0.2538,0.7866,-3.1036,3.9121,3.843,1.2731
199904,8.9396,10.6979,9.3032,2.2731,7.7487,6.7963
199905,2.0138,0.6577,4.0714,-2.6257,-1.0222,-0.1547
199906,6.9228,5.7372,5.761,6.5074,2.3338,0.3019
199907,-1.2959,-0.514,-1.3759,-3.0985,-3.6862,-4.5403
