Dates	Open Interest (All)	Noncommercial Positions-Long (All)	Noncommercial Positions-Short (All)	Noncommercial Positions-Spreading (All)	Commercial Positions-Long (All)	Commercial Positions-Short (All)	 Total Reportable Positions-Long (All)	Total Reportable Positions-Short (All)	Nonreportable Positions-Long (All)	Nonreportable Positions-Short (All)			NCMNET	COMNET	TOTNET	NONNET
17-10-00	419733	19138	8059	3751	275438	341790	298327	353600	121406	66133			11079	-66352	-55273	55273
24-10-00	416883	16698	7300	3105	276723	343152	296526	353557	120357	63326			9398	-66429	-57031	57031
31-10-00	428282	17246	6755	3262	282732	353335	303240	363352	125042	64930			10491	-70603	-60112	60112
07-11-00	431902	16552	7029	3273	288229	356012	308054	366314	123848	65588			9523	-67783	-58260	58260
14-11-00	444981	19072	8259	4081	295368	367744	318521	380084	126460	64897			10813	-72376	-61563	61563
21-11-00	451794	19000	8158	3392	296931	376076	319323	387626	132471	64168			10842	-79145	-68303	68303
28-11-00	467225	20258	9537	3917	297769	378963	321944	392417	145281	74808			10721	-81194	-70473	70473
05-12-00	496339	19911	9945	4050	306620	393088	330581	407083	165758	89256			9966	-86468	-76502	76502
12-12-00	546909	19878	10113	5327	344281	434679	369486	450119	177423	96790			9765	-90398	-80633	80633
19-12-00	458649	20799	4949	1901	312399	394397	335099	401247	123550	57402			15850	-81998	-66148	66148
26-12-00	465941	25292	7323	1510	316384	402160	343186	410993	122755	54948			17969	-85776	-67807	67807
02-01-01	487048	27951	5686	1669	327960	409811	357580	417166	129468	69882			22265	-81851	-59586	59586
09-01-01	497086	25869	7177	1393	344424	431239	371686	439809	125400	57277			18692	-86815	-68123	68123
16-01-01	489285	26192	5610	1326	334428	424264	361946	431200	127339	58085			20582	-89836	-69254	69254
23-01-01	486411	26382	5281	1499	330388	421441	358269	428221	128142	58190			21101	-91053	-69952	69952
30-01-01	482277	26490	6709	1510	325440	418655	353440	426874	128837	55403			19781	-93215	-73434	73434
06-02-01	485972	27331	6707	1878	331020	425786	360229	434371	125743	51601			20624	-94766	-74142	74142
13-02-01	496930	28087	8966	3244	336948	429858	368279	442068	128651	54862			19121	-92910	-73789	73789
20-02-01	496955	28342	8865	2562	331565	428057	362469	439484	134486	57471			19477	-96492	-77015	77015
27-02-01	504243	27982	10985	2356	329842	431588	360180	444929	144063	59314			16997	-101746	-84749	84749
06-03-01	516669	28387	7553	3002	318841	430797	350230	441352	166439	75317			20834	-111956	-91122	91122
13-03-01	563678	31779	15182	3063	356428	451270	391270	469515	172408	94163			16597	-94842	-78245	78245
20-03-01	479164	24107	25096	1448	325958	395448	351513	421992	127651	57172			-989	-69490	-70479	70479
27-03-01	488590	23537	22912	1770	325341	390912	350648	415594	137942	72996			625	-65571	-64946	64946
03-04-01	488795	26834	25206	1728	325034	381941	353596	408875	135199	79920			1628	-56907	-55279	55279
10-04-01	498992	25779	26114	2090	332762	394235	360631	422439	138361	76553			-335	-61473	-61808	61808
17-04-01	493136	27227	25970	2090	329056	386899	358373	414959	134763	78177			1257	-57843	-56586	56586
24-04-01	503074	31274	26831	2370	331498	393239	365142	422440	137932	80634			4443	-61741	-57298	57298
01-05-01	494702	31566	26935	2736	319653	360797	353955	390468	140747	104234			4631	-41144	-36513	36513
08-05-01	484878	32331	29732	3171	314194	363883	349696	396786	135182	88092			2599	-49689	-47090	47090
15-05-01	489781	33988	27667	3250	318762	390796	356000	421713	133781	68068			6321	-72034	-65713	65713
22-05-01	488241	33077	26085	3968	318761	389669	355806	419722	132435	68519			6992	-70908	-63916	63916
29-05-01	497003	26012	27758	4498	326879	395375	357389	427631	139614	69372			-1746	-68496	-70242	70242
05-06-01	510122	28239	28350	4631	323019	400509	355889	433490	154233	76632			-111	-77490	-77601	77601
12-06-01	562025	31884	28811	9347	353074	423257	394305	461415	167720	100610			3073	-70183	-67110	67110
19-06-01	457618	26802	29315	1144	301376	371121	329322	401580	128296	56038			-2513	-69745	-72258	72258
26-06-01	467316	27404	29983	1109	307889	379955	336402	411047	130914	56269			-2579	-72066	-74645	74645
03-07-01	483116	32264	31630	1211	316543	395410	350018	428251	133098	54865			634	-78867	-78233	78233
10-07-01	478285	32277	32171	1047	309374	385178	342698	418396	135587	59889			106	-75804	-75698	75698
17-07-01	487051	26345	31934	1345	336836	403561	364526	436840	122525	50211			-5589	-66725	-72314	72314
24-07-01	486824	26506	31318	1705	317241	392146	345452	425169	141372	61655			-4812	-74905	-79717	79717
31-07-01	494503	27445	28721	1878	335532	409352	364855	439951	129648	54552			-1276	-73820	-75096	75096
07-08-01	489750	27277	28211	2138	331881	406210	361296	436559	128454	53191			-934	-74329	-75263	75263
14-08-01	497110	27124	27629	2227	337327	411504	366678	441360	130432	55750			-505	-74177	-74682	74682
21-08-01	505350	27020	28475	1718	342332	416372	371070	446565	134280	58785			-1455	-74040	-75495	75495
28-08-01	512236	25897	29816	2551	342742	421868	371190	454235	141046	58001			-3919	-79126	-83045	83045
04-09-01	530410	28513	33602	4191	350626	430613	383330	468406	147080	62004			-5089	-79987	-85076	85076
10-09-01	548248	27155	31855	5233	359360	442070	391748	479158	156500	69090			-4700	-82710	-87410	87410
18-09-01	616900	27872	34893	9653	406387	471823	443912	516369	172988	100531			-7021	-65436	-72457	72457
25-09-01	513480	28940	30669	4054	357873	407036	390867	441759	122613	71721			-1729	-49163	-50892	50892
02-10-01	521649	28070	35070	4130	365200	408567	397400	447767	124249	73882			-7000	-43367	-50367	50367
09-10-01	524436	29066	38064	4029	369049	407804	402144	449897	122292	74539			-8998	-38755	-47753	47753
16-10-01	534196	26600	40966	4162	378866	415289	409628	460417	124568	73779			-14366	-36423	-50789	50789
23-10-01	534193	25706	45029	4294	377177	413658	407177	462981	127016	71212			-19323	-36481	-55804	55804
30-10-01	533878	27625	43685	5239	377468	413729	410332	462653	123546	71225			-16060	-36261	-52321	52321
06-11-01	542107	27830	39472	5364	376807	416063	410001	460899	132106	81208			-11642	-39256	-50898	50898
13-11-01	553470	29962	38619	5922	381539	421284	417423	465825	136047	87645			-8657	-39745	-48402	48402
20-11-01	549596	32056	39664	7249	369784	415822	409089	462735	140507	86861			-7608	-46038	-53646	53646
27-11-01	562781	31428	39869	8700	371336	421405	411464	469974	151317	92807			-8441	-50069	-58510	58510
04-12-01	557172	28001	40199	9520	360315	420919	397836	470638	159336	86534			-12198	-60604	-72802	72802
11-12-01	565900	31476	41006	8537	367397	429640	407410	479183	158490	86717			-9530	-62243	-71773	71773
18-12-01	585370	26486	39306	8589	391995	456968	427070	504863	158300	80507			-12820	-64973	-77793	77793
21-12-01	599385	24924	39343	9359	412581	471239	446864	519941	152521	79444			-14419	-58658	-73077	73077
28-12-01	496439	27174	30288	3558	338288	407017	369020	440863	127419	55576			-3114	-68729	-71843	71843
08-01-02	493175	26110	31124	2988	333742	398283	362840	432395	130335	60780			-5014	-64541	-69555	69555
15-01-02	496498	24398	33055	2108	340005	397024	366511	432187	129987	64311			-8657	-57019	-65676	65676
22-01-02	497436	27203	36031	1941	342841	394041	371985	432013	125451	65423			-8828	-51200	-60028	60028
29-01-02	503990	27227	36586	2354	345583	401923	375164	440863	128826	63127			-9359	-56340	-65699	65699
05-02-02	507417	28804	38649	2795	347583	401569	379182	443013	128235	64404			-9845	-53986	-63831	63831
12-02-02	512235	27521	36757	2708	355276	412868	385505	452333	126730	59902			-9236	-57592	-66828	66828
19-02-02	519180	29091	35877	3328	355905	416664	388324	455869	130856	63311			-6786	-60759	-67545	67545
26-02-02	535883	26816	37912	3626	366258	432258	396700	473796	139183	62087			-11096	-66000	-77096	77096
05-03-02	550738	22010	38045	5763	361254	445989	389027	489797	161711	60941			-16035	-84735	-100770	100770
12-03-02	607625	22129	39373	9621	396050	483606	427800	532600	179825	75025			-17244	-87556	-104800	104800
19-03-02	496108	23560	38200	4348	322938	410494	350846	453042	145262	43066			-14640	-87556	-102196	102196
26-03-02	496523	26704	41891	4037	317671	410186	348412	456114	148111	40409			-15187	-92515	-107702	107702
